Script started at 07:48:21
07:48:24 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=NO | LAUNCHED
07:48:27 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:48:30 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:48:33 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:48:36 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:48:39 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:48:42 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:48:45 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:48:48 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:48:51 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:48:54 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:48:57 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:49:00 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
Script started at 07:56:04
07:56:07 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
07:56:10 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
07:56:13 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
07:56:16 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
07:56:19 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=NO | LAUNCHED
07:56:22 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:56:25 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:56:28 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:56:31 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:56:34 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:56:37 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:56:40 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:56:43 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:56:46 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:56:49 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:56:52 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:56:55 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:56:58 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:57:01 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:57:04 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:57:07 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:57:10 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:57:13 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:57:16 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:57:19 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:57:22 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:57:25 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:57:28 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:57:31 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:57:34 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:57:37 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:57:40 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:57:43 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:57:46 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:57:49 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:57:52 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:57:55 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:57:58 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:58:01 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:58:04 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:58:07 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:58:10 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:58:13 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:58:16 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:58:19 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=NO | LAUNCHED
07:58:22 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:58:25 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:58:28 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:58:31 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
